Age,Gender,Employment_Status,Account_Type,Tenure_Months,Number_of_Products,Avg_Balance,Monthly_Transactions,Online_Banking_Usage,Mobile_Banking_Usage,Number_of_Complaints,Complaint_Resolution_Rate,Total_Digital_Usage,Balance_per_Product
18,Male,Employed,Current,158,1,71795,8,12,5,0,0.69,17,71795.0
27,Male,Self-employed,Current,147,3,37216,15,7,16,0,0.63,23,12405.33
27,Male,Self-employed,Savings,147,3,70791,13,5,7,0,0.63,12,23597.0
28,Female,Employed,Current,76,4,39131,14,7,10,0,0.87,17,9782.75
32,Female,Employed,Savings,15,2,419706,13,8,12,0,0.6,20,209853.0
48,Female,Employed,Savings,34,3,95611,16,7,7,1,0.61,14,31870.33
23,Male,Self-employed,Savings,158,2,43420,18,8,8,0,0.55,16,21710.0
37,Female,Self-employed,Savings,65,3,273471,12,7,7,0,0.58,14,91157.0
19,Female,Employed,Current,17,2,277063,18,7,11,0,0.68,18,138531.5
37,Male,Employed,Current,49,4,202055,17,8,11,1,0.52,19,50513.75
33,Female,Employed,Fixed Deposit,47,1,31686,15,7,7,1,0.51,14,31686.0
36,Male,Employed,Current,74,3,385522,14,8,10,0,0.98,18,128507.33
42,Female,Self-employed,Savings,44,3,31765,13,6,11,2,0.54,17,10588.33
36,Male,Employed,Savings,143,4,1041,19,10,10,0,0.59,20,260.25
42,Female,Employed,Savings,68,3,104648,14,3,2,0,0.76,5,34882.67
32,Male,Self-employed,Fixed Deposit,122,4,148013,17,5,20,0,0.87,25,37003.25
27,Male,Unemployed,Savings,131,2,71682,12,10,12,0,0.84,22,35841.0
25,Male,Employed,Fixed Deposit,43,1,22994,8,8,11,0,0.99,19,22994.0
19,Female,Employed,Savings,15,2,168396,17,6,11,0,0.91,17,84198.0
30,Female,Self-employed,Savings,59,1,113967,7,10,8,0,0.89,18,113967.0
36,Male,Self-employed,Savings,33,1,203342,13,9,6,0,0.71,15,203342.0
32,Female,Employed,Savings,54,1,72636,17,9,7,0,0.67,16,72636.0
36,Female,Self-employed,Current,85,4,65262,19,8,16,0,0.74,24,16315.5
33,Female,Employed,Savings,58,2,38901,18,6,17,0,0.76,23,19450.5
48,Female,Employed,Savings,70,2,39636,11,4,11,0,0.51,15,19818.0
24,Female,Employed,Savings,131,2,40412,9,9,7,0,0.89,16,20206.0
21,Female,Unemployed,Current,22,1,23849,15,11,13,0,0.86,24,23849.0
58,Female,Employed,Fixed Deposit,58,1,250265,18,14,12,0,0.62,26,250265.0
58,Female,Employed,Savings,173,3,47891,11,8,11,1,0.57,19,15963.67
34,Male,Unemployed,Current,73,3,116665,12,7,12,0,0.82,19,38888.33
29,Male,Employed,Current,78,1,303607,14,4,10,0,0.68,14,303607.0
37,Male,Employed,Savings,146,1,96832,10,6,8,0,0.58,14,96832.0
21,Male,Employed,Savings,78,1,161821,16,4,5,0,0.62,9,161821.0
43,Male,Employed,Savings,175,3,161143,14,11,10,0,0.51,21,53714.33
22,Female,Employed,Current,74,3,33811,17,10,8,0,0.7,18,11270.33
45,Male,Employed,Current,62,3,93654,16,11,9,0,0.76,20,31218.0
28,Female,Employed,Savings,89,1,237995,12,10,10,0,0.85,20,237995.0
36,Male,Employed,Savings,43,2,230604,16,5,10,0,0.67,15,115302.0
41,Female,Employed,Savings,116,3,91311,21,9,15,0,0.52,24,30437.0
20,Male,Self-employed,Savings,145,1,174719,16,6,9,0,0.88,15,174719.0
35,Male,Unemployed,Fixed Deposit,29,4,2898,16,5,13,0,0.83,18,724.5
33,Male,Employed,Savings,53,3,73832,12,10,13,0,0.67,23,24610.67
35,Male,Employed,Current,137,3,28623,17,9,12,0,0.81,21,9541.0
45,Female,Employed,Savings,56,1,458025,15,9,7,0,0.86,16,458025.0
41,Male,Employed,Savings,25,1,60814,14,9,7,1,0.6,16,60814.0
46,Female,Self-employed,Fixed Deposit,113,1,3134,20,5,14,1,0.53,19,3134.0
40,Male,Unemployed,Current,122,2,169485,14,4,9,0,0.77,13,84742.5
33,Female,Self-employed,Current,78,3,89959,14,11,13,1,0.68,24,29986.33
35,Male,Employed,Savings,44,3,39818,18,7,15,0,0.8,22,13272.67
49,Male,Self-employed,Savings,119,1,32168,16,11,10,1,0.9,21,32168.0
49,Male,Employed,Savings,168,2,706261,17,6,13,0,0.54,19,353130.5
29,Female,Employed,Savings,72,2,89038,18,6,9,0,0.6,15,44519.0
32,Male,Employed,Current,77,3,49147,10,10,12,0,0.6,22,16382.33
35,Male,Unemployed,Current,112,1,73134,21,5,8,0,0.63,13,73134.0
32,Male,Employed,Savings,121,2,86593,10,13,13,1,0.51,26,43296.5
29,Male,Employed,Fixed Deposit,105,3,52812,13,11,11,0,0.61,22,17604.0
29,Female,Self-employed,Current,62,2,61444,18,5,15,0,0.64,20,30722.0
44,Female,Employed,Savings,138,3,417598,18,0,12,0,0.64,12,139199.33
45,Male,Self-employed,Current,22,3,326892,22,4,9,0,0.52,13,108964.0
27,Female,Employed,Savings,43,1,368775,17,8,13,0,0.62,21,368775.0
47,Female,Employed,Savings,14,1,94749,17,6,12,0,0.78,18,94749.0
54,Male,Employed,Savings,65,1,89187,13,6,10,0,0.68,16,89187.0
23,Male,Employed,Savings,41,1,21024,19,7,13,1,0.62,20,21024.0
55,Female,Unemployed,Savings,140,1,345816,12,12,16,1,0.98,28,345816.0
26,Female,Employed,Savings,169,1,562964,13,10,6,0,0.62,16,562964.0
22,Female,Unemployed,Current,126,3,3909,9,5,13,0,0.9,18,1303.0
36,Female,Employed,Savings,56,3,137049,15,14,17,0,0.8,31,45683.0
43,Male,Self-employed,Savings,172,3,535069,15,7,8,1,0.86,15,178356.33
34,Male,Employed,Fixed Deposit,82,3,67152,20,6,10,0,0.74,16,22384.0
30,Female,Self-employed,Savings,94,4,79254,12,9,7,1,0.88,16,19813.5
28,Female,Employed,Savings,113,2,30161,15,12,12,0,0.83,24,15080.5
24,Male,Employed,Savings,132,1,13042,21,13,11,0,0.62,24,13042.0
26,Female,Employed,Savings,124,1,174682,14,5,7,0,0.59,12,174682.0
31,Female,Employed,Savings,122,3,194511,16,17,9,1,0.81,26,64837.0
23,Male,Employed,Current,16,3,303575,14,7,9,1,0.65,16,101191.67
34,Male,Self-employed,Current,152,2,115517,12,7,10,0,0.65,17,57758.5
26,Male,Employed,Savings,115,1,71568,15,8,9,0,0.76,17,71568.0
22,Female,Self-employed,Savings,179,2,181542,14,4,5,0,0.72,9,90771.0
39,Female,Employed,Current,164,1,30443,10,7,10,0,0.56,17,30443.0
