Customer_ID,Age,Gender,Employment_Status,Account_Type,Tenure_Months,Number_of_Products,Avg_Balance,Monthly_Transactions,Online_Banking_Usage,Mobile_Banking_Usage,Number_of_Complaints,Complaint_Resolution_Rate,Churn,Total_Digital_Usage,Balance_per_Product
CUST2463,32,Male,Employed,Current,13,2,57001,19,6,10,0,0.97,1,16,28500.5
CUST2511,45,Male,Employed,Current,88,1,24533,14,5,9,0,0.89,0,14,24533.0
CUST2227,29,Female,Employed,Savings,151,3,212133,16,11,7,1,0.71,0,18,70711.0
CUST0526,49,Female,Employed,Savings,118,2,94045,22,12,8,0,0.89,0,20,47022.5
CUST0195,33,Female,Employed,Savings,108,1,137693,15,7,8,0,0.64,0,15,137693.0
CUST2986,33,Female,Self-employed,Savings,69,3,63153,15,9,11,0,0.78,1,20,21051.0
CUST1842,41,Male,Employed,Current,167,2,378881,11,7,14,1,0.63,0,21,189440.5
CUST1142,41,Female,Self-employed,Current,68,1,43330,10,10,7,0,0.95,0,17,43330.0
CUST1253,49,Female,Self-employed,Current,78,4,307651,18,7,9,1,0.87,1,16,76912.75
CUST1268,40,Female,Employed,Savings,143,2,105577,16,9,8,0,0.66,0,17,52788.5
CUST1038,45,Female,Self-employed,Savings,55,2,3174,13,8,6,0,0.7,0,14,1587.0
CUST0665,42,Female,Employed,Fixed Deposit,178,1,136072,17,9,12,0,0.9,0,21,136072.0
CUST2650,30,Female,Employed,Savings,150,2,70709,19,6,18,0,0.84,0,24,35354.5
CUST1627,48,Female,Employed,Fixed Deposit,123,4,232609,17,10,10,0,0.82,0,20,58152.25
CUST2757,25,Male,Employed,Fixed Deposit,129,1,71483,18,10,11,1,0.79,0,21,71483.0
CUST1011,45,Female,Employed,Savings,160,3,378233,15,4,11,0,0.95,0,15,126077.67
CUST1115,26,Male,Employed,Savings,134,1,18911,9,11,8,0,0.98,0,19,18911.0
CUST0953,45,Male,Employed,Savings,85,2,136574,13,13,12,0,0.5,1,25,68287.0
CUST0348,34,Female,Self-employed,Savings,157,4,469796,16,9,11,0,0.96,0,20,117449.0
CUST2013,54,Female,Employed,Savings,117,3,25310,15,7,3,0,0.77,0,10,8436.67
CUST1379,27,Male,Employed,Current,81,3,3245,10,7,10,0,0.61,0,17,1081.67
CUST2888,45,Female,Employed,Savings,70,1,263587,12,7,9,1,0.94,0,16,263587.0
CUST2074,28,Male,Self-employed,Savings,128,2,18623,12,6,9,0,0.9,0,15,9311.5
CUST2567,35,Male,Employed,Savings,127,3,13824,15,8,11,1,0.85,0,19,4608.0
CUST1450,34,Female,Employed,Savings,17,2,79960,30,7,8,0,0.91,1,15,39980.0
CUST1673,54,Female,Self-employed,Current,79,4,24144,23,8,8,0,1.0,0,16,6036.0
CUST1790,48,Female,Self-employed,Current,127,3,36237,17,5,16,0,0.58,0,21,12079.0
CUST0211,36,Female,Unemployed,Current,17,1,606711,16,5,7,1,0.5,0,12,606711.0
CUST2980,36,Male,Employed,Fixed Deposit,93,2,294265,12,6,7,1,0.65,0,13,147132.5
CUST1614,36,Male,Employed,Current,167,1,197116,19,6,9,0,0.67,0,15,197116.0
CUST2641,21,Male,Employed,Savings,36,1,136548,11,8,11,0,0.53,1,19,136548.0
CUST0555,18,Male,Self-employed,Savings,152,1,365406,15,3,12,1,0.63,0,15,365406.0
CUST0373,33,Male,Self-employed,Savings,119,2,163723,16,2,15,0,0.63,0,17,81861.5
CUST2892,28,Female,Employed,Current,130,1,103263,18,4,13,1,0.55,0,17,103263.0
CUST1167,26,Male,Employed,Savings,22,3,217653,11,6,14,0,0.69,0,20,72551.0
CUST2592,34,Female,Employed,Current,132,1,108006,20,8,8,1,0.95,0,16,108006.0
CUST2538,53,Male,Employed,Fixed Deposit,147,1,29903,11,10,10,0,0.96,0,20,29903.0
CUST0905,46,Female,Unemployed,Savings,80,1,40881,15,9,8,0,0.59,0,17,40881.0
CUST2985,33,Female,Unemployed,Current,54,1,62712,16,12,8,0,0.98,1,20,62712.0
CUST1866,38,Female,Employed,Current,51,2,248446,16,6,5,0,0.97,0,11,124223.0
CUST1047,57,Male,Self-employed,Savings,93,4,44810,19,8,9,0,0.5,0,17,11202.5
CUST2971,38,Male,Employed,Savings,111,1,44224,19,8,10,0,0.55,0,18,44224.0
CUST0309,29,Female,Employed,Savings,137,2,1638,12,6,14,0,0.68,0,20,819.0
CUST1248,18,Male,Unemployed,Current,59,3,47854,7,6,9,0,0.93,0,15,15951.33
CUST0166,30,Female,Employed,Savings,127,1,456610,14,7,18,1,0.78,0,25,456610.0
CUST0217,45,Female,Employed,Current,39,2,11079,12,3,11,0,0.68,0,14,5539.5
CUST1314,30,Female,Employed,Current,167,2,111938,19,10,6,0,0.57,0,16,55969.0
CUST2629,43,Female,Employed,Savings,132,3,478689,14,5,11,0,0.73,0,16,159563.0
CUST2120,33,Male,Self-employed,Savings,58,3,125388,16,3,13,0,0.96,0,16,41796.0
CUST0588,21,Female,Self-employed,Savings,88,2,302307,18,7,8,0,0.73,0,15,151153.5
CUST1599,18,Male,Unemployed,Fixed Deposit,46,1,53725,18,9,7,1,0.98,0,16,53725.0
CUST0141,25,Female,Employed,Current,17,4,28852,19,8,9,0,0.85,1,17,7213.0
CUST0722,35,Male,Unemployed,Savings,127,1,111817,10,10,11,0,0.64,0,21,111817.0
CUST0153,27,Male,Employed,Current,61,1,35299,12,11,7,0,0.75,1,18,35299.0
CUST0294,36,Male,Self-employed,Current,43,1,303308,17,6,9,1,0.97,0,15,303308.0
CUST0277,24,Male,Employed,Savings,25,1,210569,15,16,6,2,0.98,1,22,210569.0
CUST1487,45,Female,Employed,Current,55,1,64327,13,9,6,0,0.81,0,15,64327.0
CUST0041,29,Male,Employed,Current,73,3,31953,12,6,13,0,0.82,0,19,10651.0
CUST2479,33,Female,Self-employed,Savings,156,1,575693,9,9,8,1,0.58,0,17,575693.0
CUST2138,26,Female,Employed,Savings,122,1,123375,12,7,19,0,0.68,0,26,123375.0
CUST0316,40,Male,Employed,Savings,132,2,88413,11,11,12,0,0.89,0,23,44206.5
CUST2576,39,Female,Self-employed,Savings,67,1,47513,16,10,10,1,0.69,0,20,47513.0
CUST2822,31,Female,Employed,Savings,115,3,165448,16,5,10,0,0.86,0,15,55149.33
CUST2795,18,Female,Employed,Savings,124,1,93100,9,10,8,0,0.7,0,18,93100.0
CUST2504,37,Male,Employed,Fixed Deposit,40,3,416191,8,9,10,0,0.85,0,19,138730.33
CUST2646,39,Female,Self-employed,Current,159,1,68237,7,6,12,1,0.91,0,18,68237.0
CUST1183,40,Female,Employed,Savings,22,1,103500,16,5,8,1,0.64,1,13,103500.0
